runs_id,service_id,block_id,run_number,piece_number,start_trip_id,start_stop_id,end_trip_id,end_stop_id
6500000,c_20305_b_27086_d_31,14,65,1,t_1229729_b_27086_tn_0,806384,t_1229729_b_27086_tn_0,806408
6600000,c_20305_b_27086_d_31,15,66,1,t_1229730_b_27086_tn_0,806408,t_1229730_b_27086_tn_0,806379
6700000,c_20305_b_27086_d_31,16,67,1,t_1229727_b_27086_tn_0,806366,t_1229727_b_27086_tn_0,806363
6800000,c_20305_b_27086_d_31,17,68,1,t_1229728_b_27086_tn_0,806363,t_1229728_b_27086_tn_0,806366
6900000,c_20305_b_27086_d_32,110-S,69,1,t_1229719_b_27086_tn_0,806390,t_1229721_b_27086_tn_0,806389
700000,c_18146_b_78479_d_27,212,7,1,t_5306766_b_78479_tn_0,849473,t_5306766_b_78479_tn_0,2562322
7000000,c_67220_b_77372_d_2,8302,70,1,t_5280728_b_77372_tn_0,806302,t_5280736_b_77372_tn_0,2615617
7100000,c_67220_b_77372_d_31,8001,71,1,t_5280827_b_77372_tn_0,2574444,t_5420816_b_77372_tn_0,2574444
7200000,c_67220_b_77372_d_31,8002,72,1,t_5280841_b_77372_tn_0,2574444,t_5280714_b_77372_tn_0,2574444
7300000,c_67220_b_77372_d_31,8101,73,1,t_5280792_b_77372_tn_0,806268,t_5280832_b_77372_tn_0,806270
7400000,c_67220_b_77372_d_31,8301,74,1,t_5280723_b_77372_tn_0,2574444,t_5280727_b_77372_tn_0,806020
7500000,c_67220_b_77372_d_31,8302,75,1,t_5280809_b_77372_tn_0,2574444,t_5280808_b_77372_tn_0,2574444
7600000,c_67220_b_77372_d_31,8605,76,1,t_5280849_b_77372_tn_0,2574444,t_5280855_b_77372_tn_0,2574444
7700000,c_67220_b_77372_d_31,8606,77,1,t_5280853_b_77372_tn_0,2574444,t_5280854_b_77372_tn_0,2574444
7800000,c_67220_b_77372_d_31,8607,78,1,t_5280850_b_77372_tn_0,2574444,t_5280846_b_77372_tn_0,2574444
